window_days,market,from_date,to_date,events,priced_candidates,graded_candidates,valid_candidates,predictions,confidence_60,eligible,selected,rejected,unservable,missing_outcome,outcome_status,pending_rows,n,win_pct,roi,roi_ci_lo,units,gate,market_last_priced_date,side_policy,model,parity,conf_floor,ev_floor
7,spreads,2026-09-10,2026-09-16,64,82,82,49,49,24,18,18,64,0,0,SETTLED,0,18,61.11,-5.18,-40.01,-0.93,FAIL,2026-09-16,both,price,ev_pass,60,0.02
30,spreads,2026-08-18,2026-09-16,309,372,372,339,339,195,152,152,220,0,0,SETTLED,0,152,60.53,-4.83,-17.01,-7.35,FAIL,2026-09-16,both,price,ev_pass,60,0.02
1,batter_total_bases,2026-09-16,2026-09-16,3,61,61,43,43,16,1,1,60,0,0,SETTLED,0,1,0.0,-100.0,-100.0,-1.0,FAIL,2026-09-16,under,rf,ev_filtered,60,0.02
7,batter_total_bases,2026-09-10,2026-09-16,64,1194,1194,1176,1176,492,32,32,1162,0,0,SETTLED,0,32,59.38,-2.21,-31.55,-0.71,FAIL,2026-09-16,under,rf,ev_filtered,60,0.02
30,batter_total_bases,2026-08-18,2026-09-16,309,5834,5834,5816,5816,2629,247,247,5587,0,0,SETTLED,0,247,59.51,-2.18,-11.75,-5.39,FAIL,2026-09-16,under,rf,ev_filtered,60,0.02
1,batter_home_runs,2026-09-16,2026-09-16,0,0,0,0,0,0,0,0,0,0,0,NO_BOARD_ROWS,0,0,,,,0.0,NO_DATA,2026-06-19,both,gbm,ev_filtered,60,0.02
7,batter_home_runs,2026-09-10,2026-09-16,0,0,0,0,0,0,0,0,0,0,0,NO_BOARD_ROWS,0,0,,,,0.0,NO_DATA,2026-06-19,both,gbm,ev_filtered,60,0.02
30,batter_home_runs,2026-08-18,2026-09-16,0,0,0,0,0,0,0,0,0,0,0,NO_BOARD_ROWS,0,0,,,,0.0,NO_DATA,2026-06-19,both,gbm,ev_filtered,60,0.02
1,pitcher_strikeouts,2026-09-16,2026-09-16,3,8,8,0,0,0,0,0,8,0,0,NO_BOARD_ROWS,0,0,,,,0.0,NO_DATA,2026-09-16,both,gbm,ev_filtered,60,0.02
7,pitcher_strikeouts,2026-09-10,2026-09-16,63,140,140,120,120,37,28,28,112,0,0,SETTLED,0,28,64.29,9.57,-20.78,2.68,FAIL,2026-09-16,both,gbm,ev_filtered,60,0.02
30,pitcher_strikeouts,2026-08-18,2026-09-16,308,697,697,677,677,177,116,116,581,0,0,SETTLED,0,116,62.07,7.39,-7.92,8.57,FAIL,2026-09-16,both,gbm,ev_filtered,60,0.02
1,h2h,2026-09-16,2026-09-16,3,3,3,0,0,0,0,0,3,0,0,NO_BOARD_ROWS,0,0,,,,0.0,NO_DATA,2026-09-16,both,gbm,ev_pass,60,0.02
7,h2h,2026-09-10,2026-09-16,64,64,64,37,37,14,12,12,52,0,0,SETTLED,0,12,83.33,32.12,-6.72,3.85,FAIL,2026-09-16,both,gbm,ev_pass,60,0.02
30,h2h,2026-08-18,2026-09-16,309,309,309,282,282,91,72,72,237,0,0,SETTLED,0,72,59.72,-4.76,-23.68,-3.43,FAIL,2026-09-16,both,gbm,ev_pass,60,0.02
1,batter_runs_scored,2026-09-16,2026-09-16,3,52,52,35,35,31,5,5,47,0,0,SETTLED,0,5,100.0,55.17,52.92,2.76,PASS,2026-09-16,both,gbm,ev_filtered,60,0.02
7,batter_runs_scored,2026-09-10,2026-09-16,64,1080,1080,1063,1063,807,67,67,1013,0,0,SETTLED,0,67,58.21,-8.09,-26.98,-5.42,FAIL,2026-09-16,both,gbm,ev_filtered,60,0.02
30,batter_runs_scored,2026-08-18,2026-09-16,308,5196,5196,5179,5179,3905,462,462,4734,0,0,SETTLED,0,462,61.04,-1.15,-8.33,-5.33,FAIL,2026-09-16,both,gbm,ev_filtered,60,0.02
1,pitcher_outs,2026-09-16,2026-09-16,3,7,7,0,0,0,0,0,7,0,0,NO_BOARD_ROWS,0,0,,,,0.0,NO_DATA,2026-09-16,both,gbm,ev_filtered,60,0.02
7,pitcher_outs,2026-09-10,2026-09-16,63,145,144,137,137,37,18,18,126,0,1,SETTLED,0,18,77.78,28.87,-6.72,5.2,FAIL,2026-09-16,both,gbm,ev_filtered,60,0.02
30,pitcher_outs,2026-08-18,2026-09-16,307,714,702,695,695,209,144,144,558,0,12,SETTLED,0,144,65.28,9.86,-3.83,14.2,FAIL,2026-09-16,both,gbm,ev_filtered,60,0.02
1,batter_strikeouts,2026-09-16,2026-09-16,0,0,0,0,0,0,0,0,0,0,0,NO_BOARD_ROWS,0,0,,,,0.0,NO_DATA,2026-07-17,under,gbm,ev_filtered,60,0.02
7,batter_strikeouts,2026-09-10,2026-09-16,0,0,0,0,0,0,0,0,0,0,0,NO_BOARD_ROWS,0,0,,,,0.0,NO_DATA,2026-07-17,under,gbm,ev_filtered,60,0.02
30,batter_strikeouts,2026-08-18,2026-09-16,0,0,0,0,0,0,0,0,0,0,0,NO_BOARD_ROWS,0,0,,,,0.0,NO_DATA,2026-07-17,under,gbm,ev_filtered,60,0.02
